     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student17.pem
     DEBUG | 		writing sigai.student17.ppk
     DEBUG | 		writing sigai.student17.pem.pub
     DEBUG | 		writing sigai.student17_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student16-keys.tgz
     DEBUG | Extracted to sigai.student16-keys
     DEBUG | 	sigai.student16_passphrase_1.txt -> sigai.student16_pass.txt
     DEBUG | 	sigai.student16_id_rsa_1.ppk -> sigai.student16.ppk
     DEBUG | 	sigai.student16_id_rsa_1 -> sigai.student16.pem
     DEBUG | 	sigai.student16_id_rsa_1.pub -> sigai.student16.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student16.pem
     DEBUG | 		writing sigai.student16.ppk
     DEBUG | 		writing sigai.student16.pem.pub
     DEBUG | 		writing sigai.student16_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student4-keys.tgz
     DEBUG | Extracted to sigai.student4-keys
     DEBUG | 	sigai.student4_id_rsa_1.pub -> sigai.student4.pem.pub
     DEBUG | 	sigai.student4_passphrase_1.txt -> sigai.student4_pass.txt
     DEBUG | 	sigai.student4_id_rsa_1 -> sigai.student4.pem
     DEBUG | 	sigai.student4_id_rsa_1.ppk -> sigai.student4.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student4.pem
     DEBUG | 		writing sigai.student4.ppk
     DEBUG | 		writing sigai.student4.pem.pub
     DEBUG | 		writing sigai.student4_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student5-keys.tgz
     DEBUG | Extracted to sigai.student5-keys
     DEBUG | 	sigai.student5_passphrase_1.txt -> sigai.student5_pass.txt
     DEBUG | 	sigai.student5_id_rsa_1.pub -> sigai.student5.pem.pub
     DEBUG | 	sigai.student5_id_rsa_1 -> sigai.student5.pem
     DEBUG | 	sigai.student5_id_rsa_1.ppk -> sigai.student5.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student5.pem
     DEBUG | 		writing sigai.student5.ppk
     DEBUG | 		writing sigai.student5.pem.pub
     DEBUG | 		writing sigai.student5_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student23-keys.tgz
     DEBUG | Extracted to sigai.student23-keys
     DEBUG | 	sigai.student23_id_rsa_1.pub -> sigai.student23.pem.pub
     DEBUG | 	sigai.student23_passphrase_1.txt -> sigai.student23_pass.txt
     DEBUG | 	sigai.student23_id_rsa_1 -> sigai.student23.pem
     DEBUG | 	sigai.student23_id_rsa_1.ppk -> sigai.student23.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student23.pem
     DEBUG | 		writing sigai.student23.ppk
     DEBUG | 		writing sigai.student23.pem.pub
     DEBUG | 		writing sigai.student23_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student22-keys.tgz
     DEBUG | Extracted to sigai.student22-keys
     DEBUG | 	sigai.student22_passphrase_1.txt -> sigai.student22_pass.txt
     DEBUG | 	sigai.student22_id_rsa_1.pub -> sigai.student22.pem.pub
     DEBUG | 	sigai.student22_id_rsa_1 -> sigai.student22.pem
     DEBUG | 	sigai.student22_id_rsa_1.ppk -> sigai.student22.ppk
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student22.pem
     DEBUG | 		writing sigai.student22.ppk
     DEBUG | 		writing sigai.student22.pem.pub
     DEBUG | 		writing sigai.student22_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student10-keys.tgz
     DEBUG | Extracted to sigai.student10-keys
     DEBUG | 	sigai.student10_id_rsa_1 -> sigai.student10.pem
     DEBUG | 	sigai.student10_id_rsa_1.ppk -> sigai.student10.ppk
     DEBUG | 	sigai.student10_passphrase_1.txt -> sigai.student10_pass.txt
     DEBUG | 	sigai.student10_id_rsa_1.pub -> sigai.student10.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student10.pem
     DEBUG | 		writing sigai.student10.ppk
     DEBUG | 		writing sigai.student10.pem.pub
     DEBUG | 		writing sigai.student10_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student11-keys.tgz
     DEBUG | Extracted to sigai.student11-keys
     DEBUG | 	sigai.student11_id_rsa_1 -> sigai.student11.pem
     DEBUG | 	sigai.student11_id_rsa_1.ppk -> sigai.student11.ppk
     DEBUG | 	sigai.student11_passphrase_1.txt -> sigai.student11_pass.txt
     DEBUG | 	sigai.student11_id_rsa_1.pub -> sigai.student11.pem.pub
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student11.pem
     DEBUG | 		writing sigai.student11.ppk
     DEBUG | 		writing sigai.student11.pem.pub
     DEBUG | 		writing sigai.student11_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student3-keys.tgz
     DEBUG | Extracted to sigai.student3-keys
     DEBUG | 	sigai.student3_id_rsa_1.pub -> sigai.student3.pem.pub
     DEBUG | 	sigai.student3_id_rsa_1 -> sigai.student3.pem
     DEBUG | 	sigai.student3_id_rsa_1.ppk -> sigai.student3.ppk
     DEBUG | 	sigai.student3_passphrase_1.txt -> sigai.student3_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student3.pem
     DEBUG | 		writing sigai.student3.ppk
     DEBUG | 		writing sigai.student3.pem.pub
     DEBUG | 		writing sigai.student3_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student2-keys.tgz
     DEBUG | Extracted to sigai.student2-keys
     DEBUG | 	sigai.student2_id_rsa_1 -> sigai.student2.pem
     DEBUG | 	sigai.student2_id_rsa_1.pub -> sigai.student2.pem.pub
     DEBUG | 	sigai.student2_id_rsa_1.ppk -> sigai.student2.ppk
     DEBUG | 	sigai.student2_passphrase_1.txt -> sigai.student2_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student2.pem
     DEBUG | 		writing sigai.student2.ppk
     DEBUG | 		writing sigai.student2.pem.pub
     DEBUG | 		writing sigai.student2_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student24-keys.tgz
     DEBUG | Extracted to sigai.student24-keys
     DEBUG | 	sigai.student24_id_rsa_1.pub -> sigai.student24.pem.pub
     DEBUG | 	sigai.student24_id_rsa_1 -> sigai.student24.pem
     DEBUG | 	sigai.student24_id_rsa_1.ppk -> sigai.student24.ppk
     DEBUG | 	sigai.student24_passphrase_1.txt -> sigai.student24_pass.txt
     DEBUG | Writing zipfile `/Users/john/Documents/sigai/newton/sigai.zip`
     DEBUG | 		writing sigai.student24.pem
     DEBUG | 		writing sigai.student24.ppk
     DEBUG | 		writing sigai.student24.pem.pub
     DEBUG | 		writing sigai.student24_pass.txt
     DEBUG | 		writing conf
      INFO | CLEANING UP
     DEBUG | Beginning to operate on sigai.student25-keys.tgz
     DEBUG | Extracted to sigai.student25-keys
     DEBUG | 	sigai.student25_id_rsa_1 -> sigai.student25.pem
     DEBUG | 	sigai.student25_id_rsa_1.pub -> sigai.student25.pem.pub
     DEBUG | 	sigai.student25_id_rsa_1.ppk -> sigai.student25.ppk
